,bsz,clip,epoch,gnorm,loss,loss_scale,lr,nll_loss,num_updates,oom,ppl,train_wall,ups,wall,wpb,wps
0,265.0,100%,1.0,0.622,4.61,1.0,0.5,2.755,2696.0,0.0,6.75,651.0,3.4,797.0,3657.0,12823.0
1,265.0,100%,2.0,0.217,3.443,1.0,0.5,1.441,5399.0,0.0,2.72,1302.0,3.1,1661.0,3657.0,12855.0
2,265.0,100%,3.0,0.198,2.878,1.0,0.5,0.78,8102.0,0.0,1.72,1953.0,3.2,2519.0,3657.0,12866.0
3,265.0,94%,4.0,0.162,2.618,1.0,0.5,0.479,10805.0,0.0,1.39,2604.0,3.2,3376.0,3657.0,12869.0
4,265.0,65%,5.0,0.132,2.504,1.0,0.5,0.353,13508.0,0.0,1.28,3254.0,3.2,4233.0,3657.0,12886.0
5,265.0,31%,6.0,0.107,2.445,1.0,0.5,0.292,16211.0,0.0,1.22,3904.0,3.2,5089.0,3657.0,12903.0
6,265.0,22%,7.0,0.09,2.408,2.0,0.5,0.258,18914.0,0.0,1.2,4555.0,3.2,5945.0,3657.0,12885.0
7,265.0,18%,8.0,0.081,2.384,2.0,0.5,0.237,21617.0,0.0,1.18,5206.0,3.2,6802.0,3657.0,12890.0
8,265.0,14%,9.0,0.071,2.368,2.0,0.5,0.223,24320.0,0.0,1.17,5857.0,3.2,7659.0,3657.0,12889.0
9,265.0,12%,10.0,0.065,2.356,2.0,0.5,0.213,27023.0,0.0,1.16,6508.0,3.2,8515.0,3657.0,12892.0
10,265.0,9%,11.0,0.059,2.343,2.0,0.5,0.203,29726.0,0.0,1.15,7158.0,3.0,9405.0,3657.0,12893.0
11,265.0,6%,12.0,0.055,2.334,2.0,0.5,0.196,32429.0,0.0,1.15,7809.0,3.2,10262.0,3657.0,12893.0
12,265.0,5%,13.0,0.052,2.327,4.0,0.5,0.191,35132.0,0.0,1.14,8460.0,3.2,11118.0,3657.0,12890.0
13,265.0,4%,14.0,0.047,2.319,4.0,0.5,0.185,37835.0,0.0,1.14,9111.0,3.2,11975.0,3657.0,12887.0
14,265.0,4%,15.0,0.046,2.316,4.0,0.5,0.183,40538.0,0.0,1.13,9762.0,3.2,12831.0,3657.0,12891.0
15,265.0,3%,16.0,0.043,2.311,4.0,0.5,0.18,43241.0,0.0,1.13,10413.0,3.2,13687.0,3657.0,12898.0
16,265.0,2%,17.0,0.04,2.307,4.0,0.5,0.177,45944.0,0.0,1.13,11064.0,3.2,14544.0,3657.0,12888.0
17,265.0,2%,18.0,0.039,2.304,4.0,0.5,0.175,48647.0,0.0,1.13,11715.0,3.2,15400.0,3657.0,12888.0
18,265.0,2%,19.0,0.036,2.302,4.0,0.5,0.173,51349.0,0.0,1.13,12366.0,3.2,16257.0,3657.0,12879.0
19,265.0,2%,20.0,0.037,2.301,4.0,0.5,0.173,54052.0,0.0,1.13,13017.0,3.2,17113.0,3657.0,12890.0
20,265.0,1%,21.0,0.034,2.298,4.0,0.5,0.171,56755.0,0.0,1.13,13668.0,3.0,18000.0,3657.0,12892.0
21,265.0,1%,22.0,0.032,2.296,4.0,0.5,0.17,59458.0,0.0,1.13,14319.0,3.2,18856.0,3657.0,12892.0
22,265.0,1%,23.0,0.033,2.294,4.0,0.5,0.169,62161.0,0.0,1.12,14970.0,3.2,19712.0,3657.0,12894.0
23,265.0,1%,24.0,0.033,2.294,4.0,0.5,0.169,64864.0,0.0,1.12,15621.0,3.2,20569.0,3657.0,12893.0
24,265.0,1%,25.0,0.031,2.292,8.0,0.5,0.168,67567.0,0.0,1.12,16272.0,3.2,21425.0,3657.0,12893.0
25,265.0,1%,26.0,0.032,2.291,4.0,0.5,0.168,70269.0,0.0,1.12,16923.0,3.2,22282.0,3657.0,12882.0
26,265.0,1%,27.0,0.031,2.291,4.0,0.5,0.168,72972.0,0.0,1.12,17574.0,3.2,23138.0,3657.0,12892.0
27,265.0,1%,28.0,0.031,2.289,4.0,0.5,0.167,75675.0,0.0,1.12,18225.0,3.2,23994.0,3657.0,12894.0
28,265.0,1%,29.0,0.032,2.289,4.0,0.5,0.167,78378.0,0.0,1.12,18876.0,3.2,24850.0,3657.0,12893.0
29,265.0,1%,30.0,0.029,2.289,4.0,0.5,0.166,81081.0,0.0,1.12,19526.0,3.2,25706.0,3657.0,12896.0
30,265.0,1%,31.0,0.029,2.287,4.0,0.5,0.166,83784.0,0.0,1.12,20177.0,3.0,26595.0,3657.0,12893.0
33,265.0,1%,31.0,0.03,2.288,4.0,0.5,0.166,83784.0,0.0,1.12,20177.0,3.4,787.0,3657.0,12905.0
31,265.0,1%,32.0,0.03,2.287,8.0,0.5,0.166,86487.0,0.0,1.12,20828.0,3.2,27451.0,3657.0,12891.0
34,265.0,0%,32.0,0.029,2.287,4.0,0.5,0.166,86487.0,0.0,1.12,20828.0,3.1,1647.0,3657.0,12902.0
32,265.0,1%,33.0,0.031,2.287,4.0,0.5,0.165,89189.0,0.0,1.12,21479.0,3.2,28308.0,3657.0,12883.0
35,265.0,1%,33.0,0.032,2.287,4.0,0.5,0.166,89190.0,0.0,1.12,21478.0,3.2,2503.0,3657.0,12908.0
36,265.0,1%,34.0,0.031,2.287,4.0,0.5,0.166,91893.0,0.0,1.12,22128.0,3.2,3358.0,3657.0,12908.0
37,265.0,0%,35.0,0.029,2.286,4.0,0.5,0.165,94596.0,0.0,1.12,22778.0,3.2,4214.0,3657.0,12907.0
38,265.0,1%,36.0,0.029,2.285,4.0,0.5,0.165,97299.0,0.0,1.12,23428.0,3.2,5069.0,3657.0,12908.0
39,265.0,1%,37.0,0.031,2.286,8.0,0.5,0.165,100002.0,0.0,1.12,24079.0,3.2,5925.0,3657.0,12900.0
40,265.0,1%,38.0,0.029,2.284,8.0,0.5,0.164,102705.0,0.0,1.12,24729.0,3.2,6781.0,3657.0,12902.0
41,265.0,1%,39.0,0.028,2.284,8.0,0.5,0.164,105408.0,0.0,1.12,25380.0,3.2,7637.0,3657.0,12902.0
42,265.0,0%,40.0,0.028,2.283,8.0,0.5,0.164,108111.0,0.0,1.12,26030.0,3.2,8493.0,3657.0,12903.0
43,265.0,1%,41.0,0.032,2.283,4.0,0.5,0.164,110813.0,0.0,1.12,26680.0,3.0,9381.0,3657.0,12887.0
44,265.0,0%,42.0,0.028,2.283,4.0,0.5,0.164,113516.0,0.0,1.12,27331.0,3.2,10236.0,3657.0,12907.0
45,265.0,0%,43.0,0.029,2.282,4.0,0.5,0.164,116219.0,0.0,1.12,27981.0,3.2,11092.0,3657.0,12906.0
46,265.0,0%,44.0,0.027,2.282,4.0,0.5,0.163,118922.0,0.0,1.12,28630.0,3.2,11947.0,3657.0,12917.0
47,265.0,0%,45.0,0.029,2.281,4.0,0.5,0.163,121625.0,0.0,1.12,29278.0,3.2,12800.0,3657.0,12946.0
48,265.0,1%,46.0,0.031,2.282,4.0,0.5,0.164,124328.0,0.0,1.12,29928.0,3.2,13656.0,3657.0,12909.0
49,265.0,1%,47.0,0.029,2.281,8.0,0.5,0.163,127031.0,0.0,1.12,30579.0,3.2,14511.0,3657.0,12901.0
50,265.0,0%,48.0,0.027,2.281,8.0,0.5,0.163,129734.0,0.0,1.12,31229.0,3.2,15367.0,3657.0,12898.0
51,265.0,1%,49.0,0.031,2.282,8.0,0.5,0.164,132437.0,0.0,1.12,31880.0,3.2,16223.0,3657.0,12901.0
52,265.0,1%,50.0,0.03,2.282,4.0,0.5,0.164,135139.0,0.0,1.12,32530.0,3.2,17079.0,3657.0,12900.0
53,265.0,0%,51.0,0.017,2.277,4.0,0.05,0.161,137842.0,0.0,1.12,33180.0,3.1,17954.0,3657.0,12913.0
54,265.0,0%,52.0,0.016,2.276,4.0,0.005,0.161,140545.0,0.0,1.12,33830.0,3.2,18810.0,3657.0,12912.0
55,265.0,0%,53.0,0.016,2.276,4.0,0.0005,0.161,143248.0,0.0,1.12,34480.0,3.2,19665.0,3657.0,12912.0
56,265.0,0%,54.0,0.016,2.276,4.0,5e-05,0.161,145951.0,0.0,1.12,35130.0,3.2,20520.0,3657.0,12911.0
