,Step,Value,Wall time
0,1000,1.9839707612991333,1540735007.7931583
1,2000,1.5678499937057495,1540735241.4935076
2,3000,1.2560222148895264,1540735462.463469
3,4000,1.1549110412597656,1540735693.1079457
4,5000,1.1366758346557617,1540735924.7998626
5,6000,1.1179522275924683,1540736156.0554936
6,7000,1.0918127298355103,1540736389.0891104
7,8000,1.068005084991455,1540736622.4814146
8,9000,1.052178978919983,1540736844.0592492
9,10000,1.0286216735839844,1540737077.3570676
10,11000,1.0225530862808228,1540737319.5079942
11,12000,1.0169919729232788,1540737541.235746
12,13000,1.0090831518173218,1540737772.7825732
13,14000,1.008784294128418,1540737993.5432827
14,15000,1.0058073997497559,1540738225.0185728
15,16000,1.006583571434021,1540738467.2915082
16,17000,1.0041135549545288,1540738688.6190028
17,18000,1.0040287971496582,1540738920.1171694
18,19000,1.0030676126480103,1540739152.495149
19,20000,1.0031051635742188,1540739373.8279276
20,21000,1.0029605627059937,1540739616.0886645
21,22000,1.0055543184280396,1540739848.1258736
22,23000,1.0030083656311035,1540740069.1473525
23,24000,1.0027837753295898,1540740301.5980155
24,25000,1.0030518770217896,1540740522.8228247
25,26000,1.0027235746383667,1540740764.8688207
26,27000,1.0026601552963257,1540740996.3040354
27,28000,1.0031118392944336,1540741217.6864738
28,29000,1.0026048421859741,1540741449.1270618
29,30000,1.002615213394165,1540741681.4632692
30,31000,1.0029311180114746,1540741912.8091006
31,32000,1.0023268461227417,1540742144.3374705
32,33000,1.002618670463562,1540742375.7690578
33,34000,1.0026018619537354,1540742596.6964989
34,35000,1.0024867057800293,1540742828.270364
35,36000,1.0023878812789917,1540743059.628756
36,37000,1.002445101737976,1540743291.3680344
37,38000,1.0024548768997192,1540743523.355721
38,39000,1.002435564994812,1540743744.7901495
39,40000,1.002392292022705,1540743976.6324375
40,41000,1.002292275428772,1540744219.0004623
41,42000,1.002314567565918,1540744440.3360858
42,43000,1.0023826360702515,1540744672.0303407
43,44000,1.0021716356277466,1540744904.2641826
44,45000,1.0034581422805786,1540745126.0202475
45,46000,1.0023845434188843,1540745368.0491352
46,47000,1.0022536516189575,1540745589.269592
47,48000,1.0021826028823853,1540745821.1585608
48,49000,1.0022382736206055,1540746052.9459422
49,50000,1.0020887851715088,1540746274.5905988
